,dt,o,h,l,c
261,2020-01-06 10:30:00,7542.12188928,7576.66274137,7537.00000002,7560.0
262,2020-01-06 11:00:00,7562.24489781,7580.7,7547.95918367,7550.00000002
263,2020-01-06 11:30:00,7550.788384,7553.06122429,7525.0,7544.89795918
264,2020-01-06 12:00:00,7542.85714285,7555.10204081,7536.25035337,7539.10000002
265,2020-01-06 12:30:00,7539.79591836,7566.72247007,7539.79591836,7559.09999999
266,2020-01-06 13:00:00,7558.85971289,7572.84966686,7545.81428576,7556.391141
267,2020-01-06 13:30:00,7554.89795918,7605.0,7483.00000003,7526.3265307
268,2020-01-06 14:00:00,7526.32653067,7546.73469386,7505.60796953,7538.79591829
269,2020-01-06 14:30:00,7538.79591829,7558.97959183,7527.34693878,7547.449061
270,2020-01-06 15:00:00,7548.67551016,7553.75510226,7522.24489796,7531.03270084
271,2020-01-06 15:30:00,7531.03270081,7537.55102037,7519.0,7519.90578588
272,2020-01-06 16:00:00,7521.22448979,7548.83572106,7509.144996,7533.58590289
273,2020-01-06 16:30:00,7535.0,7539.95395467,7521.00000003,7529.10726382
274,2020-01-06 17:00:00,7529.10726382,7560.0,7527.00000001,7559.26244589
275,2020-01-06 17:30:00,7554.10851959,7560.28849991,7540.59375819,7558.46711035
276,2020-01-06 18:00:00,7558.6671104,7558.6671104,7540.61224489,7542.65306122
277,2020-01-06 18:30:00,7544.69387754,7548.0,7526.0,7531.66833101
278,2020-01-06 19:00:00,7531.42857142,7539.59183671,7522.24489795,7536.239945
279,2020-01-06 19:30:00,7537.5510204,7551.83673469,7530.40816326,7538.57142857
280,2020-01-06 20:00:00,7537.55102041,7554.89795918,7535.51020412,7549.212372
281,2020-01-06 20:30:00,7549.212372,7557.95918367,7533.61315629,7549.28571424
282,2020-01-06 21:00:00,7550.81632653,7583.76787135,7546.73469388,7582.69074492
283,2020-01-06 21:30:00,7579.50300444,7605.91836734,7564.08163266,7573.07736007
284,2020-01-06 22:00:00,7573.17736008,7688.0,7572.015307,7662.89323371
285,2020-01-06 22:30:00,7655.7522257,7750.40816327,7650.00000001,7711.30204319
286,2020-01-06 23:00:00,7712.35116025,7797.7,7704.57169494,7739.06283699
287,2020-01-06 23:30:00,7738.178291,7789.99999999,7736.88785109,7756.35259299
288,2020-01-07 00:00:00,7761.03235428,7923.8450937,7756.87509443,7897.57756001
289,2020-01-07 00:30:00,7897.182,7999.0,7850.0,7873.80135432
290,2020-01-07 01:00:00,7874.15630258,7929.82371335,7873.33003379,7901.46594484
291,2020-01-07 01:30:00,7907.48602625,7910.06172176,7870.62563024,7901.23755699
292,2020-01-07 02:00:00,7907.0,7933.04778705,7895.74945463,7933.04778705
293,2020-01-07 02:30:00,7932.27704907,7939.99999996,7892.70003647,7895.6643798
294,2020-01-07 03:00:00,7893.54112232,7917.29407858,7884.77999009,7894.86217321
295,2020-01-07 03:30:00,7896.12193026,7912.0,7892.6286758,7894.85798009
296,2020-01-07 04:00:00,7893.40637997,7904.83779146,7851.17120895,7873.56241708
297,2020-01-07 04:30:00,7873.61241707,7882.28275089,7823.12193563,7839.4646619
298,2020-01-07 05:00:00,7840.45883724,7878.20613836,7830.53682001,7876.70613816
299,2020-01-07 05:30:00,7871.74643297,7878.2061382,7855.93576709,7869.34983813
300,2020-01-07 06:00:00,7869.34983813,7876.96446012,7853.7926855,7859.88935326
301,2020-01-07 06:30:00,7860.28950002,7873.81482508,7855.0,7870.30000017
302,2020-01-07 07:00:00,7872.01322222,7891.43968861,7855.00000003,7870.12714381
303,2020-01-07 07:30:00,7874.35401677,7882.26565765,7863.06010558,7882.26565765
304,2020-01-07 08:00:00,7878.8787859,7905.40606,7878.8787859,7900.00797838
305,2020-01-07 08:30:00,7905.15890018,7905.15890018,7870.45394274,7883.0781673
306,2020-01-07 09:00:00,7883.17816729,7886.10799177,7868.76,7868.76000005
307,2020-01-07 09:30:00,7868.76000007,7876.78392468,7855.00000001,7855.93170345
308,2020-01-07 10:00:00,7856.66340679,7876.33802937,7855.93170349,7870.96031121
309,2020-01-07 10:30:00,7870.96031123,7888.27410373,7868.94742871,7884.33855068
310,2020-01-07 11:00:00,7888.30111606,7938.13983801,7880.99053457,7937.77603729
311,2020-01-07 11:30:00,7938.18448,7961.0,7883.7049624,7898.41644714
312,2020-01-07 12:00:00,7898.41644666,7914.96248487,7841.82602071,7866.75123371
313,2020-01-07 12:30:00,7866.75123367,7890.10000005,7844.00000001,7867.1326087
314,2020-01-07 13:00:00,7867.13260871,7869.19535822,7810.87479674,7841.98310622
315,2020-01-07 13:30:00,7841.98310621,7858.10363106,7817.17938884,7849.03815249
316,2020-01-07 14:00:00,7849.03815249,7878.93312995,7836.25627394,7875.01262073
317,2020-01-07 14:30:00,7875.01262075,7883.7049624,7841.0,7842.43490859
318,2020-01-07 15:00:00,7844.17435195,7852.02884364,7817.17938899,7831.12943071
319,2020-01-07 15:30:00,7829.80215851,7831.5694992,7709.27,7766.20932166
320,2020-01-07 16:00:00,7767.94019249,7885.38067211,7724.47932508,7879.79307491
321,2020-01-07 16:30:00,7881.51028399,7941.14656215,7868.58588583,7911.69662801
322,2020-01-07 17:00:00,7915.68150715,7952.98253909,7878.94872798,7937.98979727
323,2020-01-07 17:30:00,7937.98979725,7952.00533555,7901.4644831,7938.73143916
324,2020-01-07 18:00:00,7940.33469994,8047.8249102,7919.85732564,8035.9902567
325,2020-01-07 18:30:00,8031.1,8123.58497069,8031.1,8033.92914307
326,2020-01-07 19:00:00,8047.06788049,8096.36065099,8034.32919314,8080.88616149
327,2020-01-07 19:30:00,8088.86334858,8110.32857427,8060.2078909,8072.29592403
328,2020-01-07 20:00:00,8072.29592403,8109.99999993,8050.0,8106.75009987
