t,o,h,l,c,v
1578169800000,7337.99431366,7350.0,7332.72341241,7340.36700744,41.41951452
1578171600000,7344.32459684,7354.49521125,7330.10402977,7348.66884881,49.44328058
1578173400000,7348.6688488,7366.72582569,7341.72684111,7352.0048234,43.75633809
1578175200000,7349.84840682,7365.3744841,7341.98367129,7344.58836591,26.45589999
1578177000000,7349.37863342,7359.74371881,7343.75190618,7351.0,17.23153003
1578178800000,7347.94624495,7354.94528131,7328.22728098,7336.34185929,39.7917542
1578180600000,7336.3418593,7362.45266038,7331.57817942,7352.47412649,93.96454199
1578182400000,7353.49967084,7393.03258801,7352.16254625,7380.86715119,141.98054883
1578184200000,7380.76715118,7386.12013575,7360.09581607,7374.37612361,76.93256153
1578186000000,7374.17612362,7464.28805483,7374.13806182,7455.78667256,148.29801596
1578187800000,7455.78667256,7479.0,7428.4170106,7458.02870567,106.89129783
1578189600000,7458.02870565,7480.17,7431.14017844,7443.45739626,60.15602966
1578191400000,7446.17865566,7460.76231448,7437.8498862,7443.69318176,47.65029405
1578193200000,7443.6350797,7458.83127478,7436.90000001,7451.21010576,29.3987041
1578195000000,7451.99999999,7477.99444202,7450.57021198,7474.31330499,39.78723265
1578196800000,7474.17693556,7494.99999999,7442.48923624,7454.68563899,79.9492724
1578198600000,7454.645681,7463.29290773,7443.0000003,7455.40909099,29.22655458
1578200400000,7455.98009698,7461.89293823,7443.62494284,7454.50243356,39.44083175
1578202200000,7454.4,7466.11509458,7452.40001253,7458.77144872,49.04266441
1578204000000,7457.1556178,7480.43666999,7445.97595102,7455.73099081,44.32555546
1578205800000,7455.73099081,7459.86947981,7441.00000003,7457.47251861,98.04933318
1578207600000,7456.50078958,7457.53125558,7440.06233152,7446.87770821,113.08933667
1578209400000,7446.74478836,7469.80294406,7446.49755494,7463.42866797,151.86148761
1578211200000,7463.61457342,7472.16124386,7447.72917605,7448.37148762,120.39355124
1578213000000,7448.37148762,7452.19999991,7415.0,7426.84524349,145.94910781
1578214800000,7428.2706116,7437.85311225,7400.0,7427.27318444,76.78795933
1578216600000,7428.31417008,7430.361534,7407.67346938,7426.09081632,65.52517378
1578218400000,7425.02040816,7432.31732939,7418.53818604,7420.0,47.2188168
1578220200000,7420.0,7423.76599782,7402.57142859,7415.001318,70.27088814
1578222000000,7417.01841789,7431.92816122,7409.45321203,7427.43670205,67.36717249
1578223800000,7427.53303829,7439.244356,7420.02648994,7423.95935595,100.07594745
1578225600000,7423.95935584,7459.40884738,7422.9837285,7443.580557,111.72074776
1578227400000,7442.79478847,7459.71428571,7436.24489795,7457.88494999,100.126001
1578229200000,7457.73023388,7458.18135672,7415.03597554,7418.668368,138.11489905
1578231000000,7421.78380099,7441.49897968,7415.83673469,7432.90465562,118.2262789
