t,o,h,l,c,v
1611007200000,36240.5,36554.5,36208.0,36494.5,414.207
1611010800000,36494.5,36795.5,36315.0,36662.0,458.237
1611014400000,36662.0,36950.0,36436.5,36718.0,563.949
1611018000000,36718.0,37368.0,36689.0,36990.0,756.223
1611021600000,36990.0,37073.0,36680.5,36883.5,409.325
1611025200000,36883.5,36915.0,36513.0,36544.5,307.129
1611028800000,36544.5,36701.0,36305.5,36362.0,402.988
1611032400000,36362.0,36585.0,36242.5,36314.5,338.735
1611036000000,36314.5,36832.0,36254.5,36700.0,560.957
1611039600000,36700.0,37295.0,36560.0,37226.5,495.917
1611043200000,37226.5,37630.5,37022.5,37309.0,923.859
1611046800000,37309.0,37571.5,37141.0,37173.0,387.257
1611050400000,37173.0,37389.0,36842.0,37154.0,777.595
1611054000000,37154.0,37370.5,36930.5,37370.5,429.834
1611057600000,37370.5,37555.0,36707.5,36856.5,750.336
1611061200000,36856.5,37186.0,36856.5,37160.0,286.749
1611064800000,37160.0,37333.0,36982.0,37040.0,356.649
1611068400000,37040.0,37397.0,36886.0,37358.5,491.943
1611072000000,37358.5,37920.0,37284.5,37436.5,858.507
1611075600000,37436.5,37588.0,37075.5,37232.5,539.622
1611079200000,37232.5,37232.5,36534.5,36552.0,1047.501
1611082800000,36552.0,36781.5,36120.5,36329.5,1281.459
1611086400000,36329.5,36614.5,36135.0,36466.0,561.169
1611090000000,36466.0,36778.0,36430.5,36496.5,490.651
1611093600000,36496.5,36789.5,36363.0,36677.0,497.945
1611097200000,36677.0,36738.5,35857.0,35891.5,912.105
